航线,风速下限,风速上限,浪向,浪高下限,预报时段起,浪高上限,风向,预报时段止
深圳机场到香港机场,3,4,偏南,0.3,"2020-06-03 08:00:00",0.6,南-西南,"2020-06-04 08:00:00"
深圳机场到香港机场,3,4,偏南,0.3,"2020-06-04 08:00:00",0.6,西南,"2020-06-05 08:00:00"
深圳机场到香港机场,3,4,偏南,0.3,"2020-06-29 08:00:00",0.6,南南西,"2020-06-30 08:00:00"
深圳机场到香港机场,3,4,偏南,0.3,"2020-06-30 08:00:00",0.5,南南西,"2020-07-01 08:00:00"
深圳机场到香港机场,3,4,偏南,0.4,"2020-07-03 08:00:00",0.7,偏南,"2020-07-04 08:00:00"
深圳机场到香港机场,3,4,偏南,0.4,"2020-07-04 08:00:00",0.7,偏南,"2020-07-05 08:00:00"
深圳机场到香港机场,2,3,偏南,0.3,"2020-07-13 08:00:00",0.5,偏南,"2020-07-14 08:00:00"
深圳机场到香港机场,2,3,偏南,0.3,"2020-07-14 08:00:00",0.5,偏南,"2020-07-15 08:00:00"
深圳机场到香港机场,3,4,南,0.3,"2020-07-18 08:00:00",0.6,西南,"2020-07-19 08:00:00"
深圳机场到香港机场,3,4,南,0.3,"2020-07-19 08:00:00",0.6,南,"2020-07-20 08:00:00"
深圳机场到香港机场,3,3,南,0.3,"2020-07-20 08:00:00",0.5,南,"2020-07-21 08:00:00"
深圳机场到香港机场,2,3,偏南,0.2,"2020-07-21 08:00:00",0.4,偏南,"2020-07-22 08:00:00"
深圳机场到香港机场,2,3,偏南,0.2,"2020-07-22 08:00:00",0.4,偏南,"2020-07-23 08:00:00"
深圳机场到香港机场,2,3,偏南,0.2,"2020-07-23 08:00:00",0.4,偏南,"2020-07-24 08:00:00"
深圳机场到香港机场,2,3,西南,0.2,"2020-07-25 08:00:00",0.4,西南,"2020-07-26 08:00:00"
深圳机场到香港机场,3,3,西南,0.2,"2020-07-26 08:00:00",0.5,西南,"2020-07-27 08:00:00"
深圳机场到香港机场,2,3,西南,0.3,"2020-07-27 08:00:00",0.6,西南,"2020-07-28 08:00:00"
深圳机场到香港机场,2,3,西南,0.2,"2020-07-28 08:00:00",0.5,西南,"2020-07-29 08:00:00"
深圳机场到香港机场,2,3,偏南,0.2,"2020-07-29 08:00:00",0.5,偏东,"2020-07-30 08:00:00"
深圳机场到香港机场,2,3,偏南,0.2,"2020-07-30 08:00:00",0.4,偏东,"2020-07-31 08:00:00"
深圳机场到香港机场,3,4,偏东,0.3,"2020-10-04 08:00:00",0.7,东北,"2020-10-05 08:00:00"
深圳机场到香港机场,4,5,东北,0.4,"2020-10-05 08:00:00",0.8,东北,"2020-10-06 08:00:00"
深圳机场到香港机场,4,5,东北-东,0.3,"2020-10-10 08:00:00",0.7,东北-东,"2020-10-11 08:00:00"
深圳机场到香港机场,4,5,东北-东,0.3,"2020-10-11 08:00:00",0.6,东北-东,"2020-10-12 08:00:00"
深圳机场到香港机场,4,6,东北东,0.3,"2020-10-12 08:00:00",0.6,东北,"2020-10-13 08:00:00"
深圳机场到香港机场,5,6,东北东,0.5,"2020-10-13 08:00:00",1,东北-东,"2020-10-14 08:00:00"
深圳蛇口到珠海九洲,4,5,偏南,0.4,"2020-06-03 08:00:00",0.7,南-西南,"2020-06-04 08:00:00"
深圳蛇口到珠海九洲,4,5,偏南,0.4,"2020-06-04 08:00:00",0.7,西南,"2020-06-05 08:00:00"
深圳蛇口到珠海九洲,3,4,偏南,0.4,"2020-06-29 08:00:00",0.6,南南西,"2020-06-30 08:00:00"
深圳蛇口到珠海九洲,3,4,偏南,0.4,"2020-06-30 08:00:00",0.6,南南西,"2020-07-01 08:00:00"
深圳蛇口到珠海九洲,4,4,偏南,0.6,"2020-07-03 08:00:00",0.9,偏南,"2020-07-04 08:00:00"
深圳蛇口到珠海九洲,4,4,偏南,0.6,"2020-07-04 08:00:00",0.9,偏南,"2020-07-05 08:00:00"
深圳蛇口到珠海九洲,3,3,偏南,0.4,"2020-07-13 08:00:00",0.7,偏南,"2020-07-14 08:00:00"
深圳蛇口到珠海九洲,3,3,偏南,0.4,"2020-07-14 08:00:00",0.7,偏南,"2020-07-15 08:00:00"
深圳蛇口到珠海九洲,4,4,南,0.4,"2020-07-18 08:00:00",0.8,西南,"2020-07-19 08:00:00"
深圳蛇口到珠海九洲,4,4,南,0.4,"2020-07-19 08:00:00",0.8,南,"2020-07-20 08:00:00"
深圳蛇口到珠海九洲,3,4,南,0.4,"2020-07-20 08:00:00",0.6,南,"2020-07-21 08:00:00"
深圳蛇口到珠海九洲,3,3,偏南,0.3,"2020-07-21 08:00:00",0.5,偏南,"2020-07-22 08:00:00"
深圳蛇口到珠海九洲,3,3,偏南,0.3,"2020-07-22 08:00:00",0.5,偏南,"2020-07-23 08:00:00"
深圳蛇口到珠海九洲,3,3,偏南,0.3,"2020-07-23 08:00:00",0.5,偏南,"2020-07-24 08:00:00"
深圳蛇口到珠海九洲,2,3,西南,0.3,"2020-07-25 08:00:00",0.5,西南,"2020-07-26 08:00:00"
深圳蛇口到珠海九洲,3,4,西南,0.3,"2020-07-26 08:00:00",0.6,西南,"2020-07-27 08:00:00"
深圳蛇口到珠海九洲,3,4,西南,0.3,"2020-07-27 08:00:00",0.7,西南,"2020-07-28 08:00:00"
深圳蛇口到珠海九洲,3,4,西南,0.3,"2020-07-28 08:00:00",0.6,西南,"2020-07-29 08:00:00"
深圳蛇口到珠海九洲,3,4,偏南,0.3,"2020-07-29 08:00:00",0.6,偏东,"2020-07-30 08:00:00"
深圳蛇口到珠海九洲,3,4,偏南,0.3,"2020-07-30 08:00:00",0.5,偏东,"2020-07-31 08:00:00"
深圳蛇口到珠海九洲,3,5,偏东,0.4,"2020-10-04 08:00:00",0.8,东北,"2020-10-05 08:00:00"
深圳蛇口到珠海九洲,4,6,东北,0.5,"2020-10-05 08:00:00",1,东北,"2020-10-06 08:00:00"
深圳蛇口到珠海九洲,4,5,东北-东,0.4,"2020-10-10 08:00:00",0.8,东北-东,"2020-10-11 08:00:00"
深圳蛇口到珠海九洲,4,5,东北-东,0.4,"2020-10-11 08:00:00",0.8,东北-东,"2020-10-12 08:00:00"
深圳蛇口到珠海九洲,4,6,东北东,0.4,"2020-10-12 08:00:00",0.8,东北,"2020-10-13 08:00:00"
